204	612,916
187	73,51
170	1652,382
153	465,383
136	1689,117
119	1483,219
102	1279,308
85	1066,257
68	900,122
51	643,310
34	473,172
17	272,123
201	1416,918
184	66,565
167	1486,383
150	636,384
133	1644,215
116	1443,309
99	1232,258
82	1066,122
65	810,309
48	645,176
31	437,126
14	230,218
198	1636,627
181	179,519
164	1316,382
147	804,385
130	1608,305
113	1402,255
96	1234,117
79	980,309
62	810,176
45	603,121
28	399,215
11	186,306
212	649,630
195	1630,610
178	281,459
161	1147,384
144	978,381
127	1574,257
110	1400,121
93	1145,311
76	975,169
59	771,123
42	567,217
25	355,307
8	140,258
209	266,626
192	1810,310
175	1873,347
158	184,382
141	1735,255
124	1570,122
107	1309,312
90	1145,172
73	942,118
56	733,214
39	523,309
22	309,260
5	142,127
206	266,916
189	967,459
172	1768,380
155	352,387
138	1737,122
121	1482,310
104	1308,176
87	1107,121
70	903,219
53	687,307
36	475,255
19	306,120
2	329,55
203	649,915
186	69,84
169	1600,385
152	528,382
135	1644,307
118	1480,172
101	1276,122
84	1068,216
67	855,310
50	643,256
33	476,124
16	230,310
200	1472,916
183	130,564
166	1434,383
149	693,381
132	1645,172
115	1439,124
98	1234,215
81	1024,307
64	811,257
47	645,125
30	399,306
13	230,175
214	653,872
197	1630,624
180	180,458
163	1258,383
146	860,381
129	1609,121
112	1400,215
95	1194,305
78	980,259
61	811,125
44	567,304
27	398,178
10	185,124
211	601,630
194	1627,597
177	349,458
160	1090,386
143	976,342
126	1570,217
109	1358,304
92	1146,257
75	976,123
58	734,309
41	566,174
24	353,121
7	141,216
208	270,661
191	1091,462
174	1876,384
157	236,378
140	1737,217
123	1524,305
106	1314,257
89	1143,122
72	901,312
55	732,175
38	521,125
21	309,215
4	401,89
205	308,916
188	174,53
171	1717,385
154	404,379
137	1690,306
120	1481,260
103	1309,121
86	1068,308
69	901,174
52	688,123
35	474,214
18	268,310
1	270,53
202	687,914
185	69,534
168	1543,385
151	582,384
134	1648,259
117	1481,123
100	1237,310
83	1068,175
66	855,124
49	643,217
32	436,308
15	233,256
199	1637,645
182	179,566
165	1373,385
148	750,385
131	1646,123
114	1401,309
97	1236,174
80	1025,122
63	810,216
46	607,308
29	397,256
12	235,123
213	645,665
196	1629,604
179	181,423
162	1205,384
145	917,381
128	1571,308
111	1404,177
94	1188,124
77	979,218
60	774,310
43	567,259
26	399,123
9	141,309
210	307,629
193	1620,596
176	1873,306
159	1089,425
142	1739,308
125	1572,174
108	1353,126
91	1147,215
74	941,305
57	733,255
40	565,122
23	309,307
6	141,174
207	267,870
190	1031,460
173	1833,382
156	296,386
139	1740,175
122	1523,123
105	1310,210
88	1107,306
71	901,259
54	732,124
37	475,309
20	307,176
3	400,54
